1.666667   0.300000 
 0.0000000e+00    1.0000000e+00    3.6096721e-02 
 9.0779349e-03    1.0000093e+00    3.6094216e-02 
 1.8155870e-02    1.0000467e+00    3.6088759e-02 
 2.7233805e-02    1.0001090e+00    3.6079665e-02 
 3.6311740e-02    1.0001962e+00    3.6066936e-02 
 4.5389675e-02    1.0003083e+00    3.6050576e-02 
 5.4467610e-02    1.0004453e+00    3.6030588e-02 
 6.3545544e-02    1.0006071e+00    3.6006976e-02 
 7.2623479e-02    1.0007937e+00    3.5979747e-02 
 8.1701414e-02    1.0010052e+00    3.5948906e-02 
 9.0779349e-02    1.0012415e+00    3.5914461e-02 
 9.9857284e-02    1.0015024e+00    3.5876420e-02 
 1.0893522e-01    1.0017881e+00    3.5834791e-02 
 1.1801315e-01    1.0020985e+00    3.5789584e-02 
 1.2709109e-01    1.0024335e+00    3.5740810e-02 
 1.3616902e-01    1.0027931e+00    3.5688481e-02 
 1.4524696e-01    1.0031772e+00    3.5632607e-02 
 1.5432489e-01    1.0035857e+00    3.5573203e-02 
 1.6340283e-01    1.0040187e+00    3.5510282e-02 
 1.7248076e-01    1.0044760e+00    3.5443858e-02 
 1.8155870e-01    1.0049576e+00    3.5373948e-02 
 1.9063663e-01    1.0054635e+00    3.5300567e-02 
 1.9971457e-01    1.0059934e+00    3.5223733e-02 
 2.0879250e-01    1.0065474e+00    3.5143463e-02 
 2.1787044e-01    1.0071254e+00    3.5059776e-02 
 2.2694837e-01    1.0077272e+00    3.4972692e-02 
 2.3602631e-01    1.0083529e+00    3.4882231e-02 
 2.4510424e-01    1.0090023e+00    3.4788414e-02 
 2.5418218e-01    1.0096752e+00    3.4691263e-02 
 2.6326011e-01    1.0103717e+00    3.4590800e-02 
 2.7233805e-01    1.0110915e+00    3.4487050e-02 
 2.8141598e-01    1.0118346e+00    3.4380036e-02 
 2.9049392e-01    1.0126008e+00    3.4269783e-02 
 2.9957185e-01    1.0133901e+00    3.4156318e-02 
 3.0864979e-01    1.0142023e+00    3.4039666e-02 
 3.1772772e-01    1.0150372e+00    3.3919855e-02 
 3.2680566e-01    1.0158948e+00    3.3796913e-02 
 3.3588359e-01    1.0167748e+00    3.3670869e-02 
 3.4496153e-01    1.0176772e+00    3.3541752e-02 
 3.5403946e-01    1.0186018e+00    3.3409592e-02 
 3.6311740e-01    1.0195484e+00    3.3274422e-02 
 3.7219533e-01    1.0205169e+00    3.3136271e-02 
 3.8127327e-01    1.0215070e+00    3.2995173e-02 
 3.9035120e-01    1.0225187e+00    3.2851160e-02 
 3.9942914e-01    1.0235517e+00    3.2704267e-02 
 4.0850707e-01    1.0246058e+00    3.2554528e-02 
 4.1758501e-01    1.0256809e+00    3.2401978e-02 
 4.2666294e-01    1.0267767e+00    3.2246652e-02 
 4.3574088e-01    1.0278931e+00    3.2088589e-02 
 4.4481881e-01    1.0290298e+00    3.1927824e-02 
 4.5389675e-01    1.0301866e+00    3.1764395e-02 
 4.6297468e-01    1.0313634e+00    3.1598340e-02 
 4.7205262e-01    1.0325598e+00    3.1429700e-02 
 4.8113055e-01    1.0337756e+00    3.1258513e-02 
 4.9020849e-01    1.0350106e+00    3.1084820e-02 
 4.9928642e-01    1.0362645e+00    3.0908661e-02 
 5.0836436e-01    1.0375372e+00    3.0730078e-02 
 5.1744229e-01    1.0388282e+00    3.0549114e-02 
 5.2652023e-01    1.0401374e+00    3.0365809e-02 
 5.3559816e-01    1.0414644e+00    3.0180209e-02 
 5.4467610e-01    1.0428090e+00    2.9992355e-02 
 5.5375403e-01    1.0441709e+00    2.9802293e-02 
 5.6283196e-01    1.0455498e+00    2.9610068e-02 
 5.7190990e-01    1.0469454e+00    2.9415723e-02 
 5.8098783e-01    1.0483573e+00    2.9219306e-02 
 5.9006577e-01    1.0497853e+00    2.9020861e-02 
 5.9914370e-01    1.0512290e+00    2.8820437e-02 
 6.0822164e-01    1.0526881e+00    2.8618079e-02 
 6.1729957e-01    1.0541622e+00    2.8413835e-02 
 6.2637751e-01    1.0556510e+00    2.8207754e-02 
 6.3545544e-01    1.0571542e+00    2.7999883e-02 
 6.4453338e-01    1.0586713e+00    2.7790271e-02 
 6.5361131e-01    1.0602020e+00    2.7578968e-02 
 6.6268925e-01    1.0617458e+00    2.7366022e-02 
 6.7176718e-01    1.0633026e+00    2.7151483e-02 
 6.8084512e-01    1.0648717e+00    2.6935402e-02 
 6.8992305e-01    1.0664528e+00    2.6717829e-02 
 6.9900099e-01    1.0680456e+00    2.6498814e-02 
 7.0807892e-01    1.0696495e+00    2.6278409e-02 
 7.1715686e-01    1.0712642e+00    2.6056664e-02 
 7.2623479e-01    1.0728892e+00    2.5833631e-02 
