1.666667   0.100000 
 0.0000000e+00    1.0000000e+00    1.8300218e-03 
 1.1858541e-01    1.0000000e+00    1.8256158e-03 
 2.3717082e-01    1.0000000e+00    1.8124401e-03 
 3.5575624e-01    1.0000000e+00    1.7906217e-03 
 4.7434165e-01    1.0000000e+00    1.7603707e-03 
 5.9292706e-01    1.0000000e+00    1.7219785e-03 
 7.1151247e-01    1.0000000e+00    1.6758147e-03 
 8.3009789e-01    1.0000000e+00    1.6223239e-03 
 9.4868330e-01    1.0000000e+00    1.5620213e-03 
 1.0672687e+00    1.0000000e+00    1.4954877e-03 
 1.1858541e+00    1.0000000e+00    1.4233637e-03 
 1.3044395e+00    1.0000000e+00    1.3463440e-03 
 1.4230249e+00    1.0000000e+00    1.2651704e-03 
 1.5416104e+00    1.0000000e+00    1.1806245e-03 
 1.6601958e+00    1.0000000e+00    1.0935207e-03 
 1.7787812e+00    1.0000000e+00    1.0046976e-03 
 1.8973666e+00    1.0000000e+00    9.1501090e-04 
 2.0159520e+00    1.0000000e+00    8.2532415e-04 
 2.1345374e+00    1.0000000e+00    7.3650113e-04 
 2.2531228e+00    1.0000000e+00    6.4939725e-04 
 2.3717082e+00    1.0000000e+00    5.6485139e-04 
 2.4902937e+00    1.0000000e+00    4.8367775e-04 
 2.6088791e+00    1.0000000e+00    4.0665808e-04 
 2.7274645e+00    1.0000000e+00    3.3453413e-04 
 2.8460499e+00    1.0000000e+00    2.6800049e-04 
 2.9646353e+00    1.0000000e+00    2.0769791e-04 
 3.0832207e+00    1.0000000e+00    1.5420714e-04 
 3.2018061e+00    1.0000000e+00    1.0804333e-04 
 3.3203915e+00    1.0000000e+00    6.9651057e-05 
 3.4389770e+00    1.0000000e+00    3.9400062e-05 
 3.5575624e+00    1.0000000e+00    1.7581678e-05 
 3.6761478e+00    1.0000000e+00    4.4060276e-06 
 3.7947332e+00    1.0000000e+00    0.0000000e+00 
