1.666667   0.100000 
 0.0000000e+00    1.0000000e+00    1.2914038e-03 
 1.4873844e-01    1.0000896e+00    1.2853476e-03 
 2.9747688e-01    1.0004451e+00    1.2731857e-03 
 4.4621532e-01    1.0010297e+00    1.2531491e-03 
 5.9495376e-01    1.0018312e+00    1.2255753e-03 
 7.4369220e-01    1.0028333e+00    1.1909256e-03 
 8.9243064e-01    1.0040154e+00    1.1497723e-03 
 1.0411691e+00    1.0053537e+00    1.1027838e-03 
 1.1899075e+00    1.0068209e+00    1.0507071e-03 
 1.3386460e+00    1.0083879e+00    9.9434947e-04 
 1.4873844e+00    1.0100236e+00    9.3455819e-04 
 1.6361228e+00    1.0116963e+00    8.7220022e-04 
 1.7848613e+00    1.0133741e+00    8.0814222e-04 
 1.9335997e+00    1.0150258e+00    7.4323136e-04 
 2.0823382e+00    1.0166219e+00    6.7827777e-04 
 2.2310766e+00    1.0181349e+00    6.1403900e-04 
 2.3798150e+00    1.0195402e+00    5.5120711e-04 
 2.5285535e+00    1.0208165e+00    4.9039849e-04 
 2.6772919e+00    1.0219464e+00    4.3214678e-04 
 2.8260304e+00    1.0229165e+00    3.7689877e-04 
 2.9747688e+00    1.0237174e+00    3.2501334e-04 
 3.1235072e+00    1.0243440e+00    2.7676313e-04 
 3.2722457e+00    1.0247952e+00    2.3233873e-04 
 3.4209841e+00    1.0250737e+00    1.9185495e-04 
 3.5697226e+00    1.0251855e+00    1.5535902e-04 
 3.7184610e+00    1.0251402e+00    1.2284027e-04 
 3.8671994e+00    1.0249496e+00    9.4241172e-05 
 4.0159379e+00    1.0246281e+00    6.9470037e-05 
 4.1646763e+00    1.0241921e+00    4.8415898e-05 
 4.3134148e+00    1.0236598e+00    3.0967926e-05 
 4.4621532e+00    1.0230512e+00    1.7045349e-05 
 4.6108916e+00    1.0223882e+00    6.6566029e-06 
 4.7596301e+00    1.0216962e+00    0.0000000e+00 
